id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
17	active learning	-0.6896	0.3445	2	11	21	13	2016	13.4615	0.6153
58	algorithm	-0.4041	-0.4397	2	5	7	5	2016.2	1.8	0.0791
81	anomaly detection	-0.0764	-0.6115	1	8	16	11	2016.0909	10.9091	0.48
94	apache spark	0.6144	-0.6328	1	3	6	7	2016.1429	68.1429	2.7808
111	artificial intelligence	0.3342	0.6974	1	13	25	11	2016.3636	49.0909	2.2044
112	artificial neural network	0.1931	0.6921	1	9	21	9	2016.5556	14.3333	0.6507
113	artificial neural networks	0.6055	0.7326	4	10	18	8	2016	86.125	4.2758
171	bagging	1.0013	-0.0072	3	14	19	5	2016.2	49.4	2.4054
198	big data	0.3016	-0.4105	1	19	46	27	2016.1852	31.8889	1.4879
213	bioinformatics	0.4425	-0.5152	1	5	9	5	2015.8	79.6	3.8253
233	boosting	0.9916	0.1808	3	13	17	5	2016.2	52.6	2.5728
304	classification	-0.3786	-0.1189	2	30	113	67	2016.3731	37.0448	1.5684
322	cloud computing	0.8334	0.179	1	5	11	9	2016	7.5556	0.3341
329	clustering	-0.019	-0.4549	2	9	15	7	2016.4286	151.2857	6.1929
391	computer vision	-0.1754	0.5714	1	5	10	7	2016.5714	28.2857	1.1731
459	cyber security	0.4705	-0.6562	1	5	7	6	2016.1667	8.3333	0.3713
480	data mining	0.7242	0.3019	1	15	41	25	2016.12	49.76	2.1929
502	decision tree	0.1591	-0.2953	1	11	21	10	2016.1	3.5	0.1541
513	deep learning	-0.3925	0.5742	1	26	70	43	2016.5581	29.9302	1.4237
682	ensemble	-0.1683	-0.5499	3	7	9	5	2016	17.8	0.7585
684	ensemble learning	-0.3592	0.1589	2	7	17	11	2016.1818	69.8182	3.4706
727	extreme learning machine	-0.8155	-0.1886	2	35	148	208	2016.0385	20.601	0.8873
728	extreme learning machine (elm)	-0.5909	0.5276	4	16	27	35	2016.1143	55.7714	2.3571
733	extreme learning machines	0.1437	0.9106	4	17	27	21	2016.1905	8.2857	0.3473
766	feature extraction	-0.4195	0.341	1	14	22	11	2016	7.4545	0.3192
767	feature learning	-1.1187	-0.0966	2	8	11	5	2016	218.4	8.8688
771	feature selection	0.421	-0.2815	1	11	23	12	2016.1667	39.25	1.6365
1020	image classification	-0.9428	0.3611	2	10	18	9	2016.4444	31.2222	1.4212
1052	incremental learning	-0.7531	0.1448	2	8	14	9	2015.8889	13.2222	0.564
1100	intrusion detection	0.5737	0.5072	3	7	11	7	2016.4286	19.4286	0.8139
1147	kernel extreme learning machine	-0.8677	0.1288	2	3	5	7	2016.5714	24.7143	1.2045
1242	linear regression	0.0601	0.578	1	8	14	5	2016.2	6.8	0.2776
1264	logistic regression	0.8952	-0.257	3	15	24	8	2016.25	7	0.3325
1279	machine learning	0.2638	0.1363	1	58	447	578	2016.3322	21.5363	0.9761
1282	machine learning algorithms	0.7252	-0.6609	3	12	14	8	2016.125	6.5	0.3156
1307	machine learning techniques	-0.1263	-0.7885	1	5	6	7	2016	34.5714	1.4572
1318	machine vision	0.0212	-0.7041	5	3	7	5	2016.8	23	0.9445
1319	machine-learning	-0.2472	-0.8888	2	5	5	9	2016.4444	21.6667	1.0365
1337	malware detection	-0.1739	0.0952	1	3	7	6	2015.8333	17.1667	0.7262
1342	manifold learning	-0.5968	-0.4684	5	5	8	5	2016.6	6.2	0.2564
1350	mapreduce	-0.748	-0.5176	2	8	15	8	2015.75	16	0.6553
