id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	accuracy	0.2016	-0.4302	4	5	9	5	2020.2	2.6	0.2935
18	active learning	0.641	0.672	3	12	23	13	2020.5833	4.9231	0.724
41	adversarial machine learning	-0.8384	0.3607	3	6	6	8	2020.875	4.125	0.5518
51	ai	-0.1521	0.7847	3	8	14	7	2020.2857	4.5714	0.5817
123	artificial intelligence	0.4289	0.3091	7	45	168	77	2020.6711	7.1688	1.2578
130	artificial neural network	0.3434	-0.7319	2	5	18	10	2020.7	9.8	1.3819
132	artificial neural networks	0.5153	-0.2364	5	12	26	8	2020.625	9.875	2.2628
174	automated machine learning	-0.4236	0.2385	1	9	13	8	2020.5	12	1.4695
220	bias	-0.3251	-0.7147	4	5	9	6	2020.6667	2.6667	0.3776
227	big data	-0.2588	0.7491	7	12	28	12	2020.25	10.5833	2.0175
235	bioinformatics	-0.2882	0.6518	7	5	10	6	2020.5	3.8333	0.4328
271	breast cancer	0.4178	0.8156	6	5	12	5	2020.25	10.2	1.3352
332	classification	0.6637	-0.0492	6	34	108	46	2020.5349	4.587	0.8849
351	cloud computing	-0.6801	0.1598	3	8	11	5	2020.6	8.6	0.9709
355	clustering	1.023	-0.3126	2	17	25	6	2020.5	7.3333	2.1114
361	cnn	-0.6225	0.426	8	4	6	5	2020.4	1.2	0.411
398	computational modeling	-0.7152	-0.601	1	12	20	7	2020.4286	3.8571	0.5994
453	convolutional neural networks	-0.0673	0.8401	5	5	12	6	2020.5	19.3333	4.976
475	covid-19	-0.1595	-0.4359	4	3	7	6	2021.2	27.3333	2.1625
481	credit scoring	0.0028	-0.5566	4	5	9	5	2020.8	12.6	2.025
505	cybersecurity	-0.3802	0.4617	3	12	20	10	2020.7	2.9	0.6718
521	data mining	0.1074	-0.563	4	13	25	11	2020.6364	14.0909	2.4674
522	data models	-0.8182	-0.4705	1	24	61	15	2020.6	12.3333	1.9193
532	data science	0.0665	0.8353	3	9	16	7	2020.5714	8.1429	1.2801
556	decision tree	0.615	0.4224	5	9	11	5	2020.6	0.6	0.1596
557	decision trees	0.6849	-0.441	5	12	17	5	2021	3.2	0.6827
562	deep learning	0.1068	0.5431	6	63	313	176	2020.7176	9.5455	1.6725
604	diagnosis	-0.4088	0.37	9	4	7	6	2021.1667	1.3333	0.4567
648	distributed machine learning	-0.6688	0.213	1	6	6	9	2020.2222	8.1111	1.0688
677	e-learning	-0.3517	-0.2568	11	5	9	5	2020.4	3	0.6601
752	ensemble learning	0.8051	0.4383	5	12	18	7	2020.5714	8	1.264
795	explainability	-0.0818	-0.6815	4	3	9	5	2020.6	13.4	2.2475
796	explainable ai	-0.57	0.3054	3	8	10	6	2020.8333	2.5	0.6649
798	explainable machine learning	-0.2908	-0.9249	4	6	8	5	2021.2	22.4	3.2427
803	extreme learning machine	1.0213	-0.0675	2	16	26	37	2020.3824	3.5405	0.4367
804	extreme learning machine (elm)	0.8056	0.6248	6	8	9	8	2021	1.625	0.3513
819	fairness	-0.2261	-0.7252	4	4	9	6	2021	0.3333	0.0759
827	fault diagnosis	0.8865	-0.3377	2	6	7	5	2020.5	1	0.2966
832	feature extraction	-0.4943	0.0746	1	24	53	17	2020.5	3.3529	0.7162
837	feature selection	0.6463	-0.3275	2	17	29	11	2020.5	2.8182	0.4016
841	federated learning	-0.3789	0.2947	1	5	11	11	2020.8182	2.2727	0.6323
882	forecasting	0.3022	-0.4198	12	5	14	10	2020.6	1.9	0.3982
943	genomics	-0.4225	0.6509	7	9	14	5	2020.6	6.4	0.7684
1009	healthcare	-0.4523	-0.0974	1	11	18	6	2020.5	18.6667	2.6814
1083	image processing	0.6828	0.2191	6	8	13	6	2020.5	10.5	1.7211
1153	interactive machine learning	0.3563	0.9626	3	8	11	6	2020.5	2.3333	0.207
1161	internet of things	-0.5308	0.4881	3	10	16	7	2020.3333	5.2857	0.5483
1163	interpretability	-0.1179	-0.8063	4	8	18	10	2020.6	15	2.1067
1164	interpretable machine learning	-0.4162	-0.6167	4	12	15	10	2020.6	4.3	0.6197
1299	lstm	-0.572	0.3872	8	4	7	5	2021	2.2	0.5239
1315	machine learning	0.0419	0.015	4	86	891	813	2020.601	6.1365	1.0593
1318	machine learning algorithms	-0.788	-0.0938	1	35	90	30	2020.8276	7.9667	1.1673
1366	machining	-0.7818	0.0743	1	6	8	5	2020.6	3.8	0.8423
1407	materials informatics	0.4912	-0.6801	6	5	10	5	2020.4	8.8	1.3608
1409	materials science	0.3825	-0.5806	6	4	9	5	2020.25	9.4	0.9483
1588	natural language processing	-0.2794	-0.5222	1	9	15	9	2020.8889	5.4444	0.9718
1602	neural network	0.8386	-0.4493	2	21	40	13	2020.6667	3.6154	0.5943
1605	neural networks	0.3791	0.6296	5	20	59	30	2020.3793	6.9333	1.0507
1648	online learning	1.001	0.3395	2	12	13	7	2021	1.4286	0.5827
1672	optimization	0.9834	-0.174	2	19	38	13	2020.6667	30.0769	3.6144
1783	prediction	-0.222	0.4663	7	19	59	29	2020.7308	2.4483	0.3401
1784	prediction algorithms	-1.0236	-0.1882	1	15	38	8	2021	3.625	0.7249
1793	predictive models	-0.8982	-0.257	1	20	48	12	2020.8333	2.3333	0.6078
1863	python	0.9405	0.1973	2	19	30	10	2020.4	3.8	0.4979
1891	quantum computing	-0.9494	-0.0295	1	8	17	9	2020.5	0.6667	0.0753
1902	quantum machine learning	-1.0918	-0.084	1	9	14	13	2020.3333	3.6923	0.6111
1933	radiomics	-0.4077	0.7652	7	6	11	5	2020.6	18	2.078
1941	random forest	0.2051	-0.6745	2	15	36	14	2020.5	5.5	1.1129
1957	regression	1.0533	0.0707	2	19	44	11	2020.8	2.7273	0.507
1964	reinforcement learning	0.8483	0.3163	2	19	35	15	2020.7857	1.1333	0.364
2006	review	0.0418	-0.3779	3	7	12	6	2020.3333	14.6667	1.6558
2066	security	-0.885	0.1457	3	19	42	13	2020.4615	8.9231	1.2723
2111	simulation	0.2707	-0.4826	10	3	6	5	2020.6	3.4	0.4298
2134	social media	0.3907	-0.2686	2	3	7	5	2020.6	3	0.706
2269	supervised learning	0.7972	0.0772	2	27	73	24	2020.7083	4.625	1.077
2270	supervised machine learning	-0.7556	0.6018	7	8	11	7	2020.4286	1.8571	0.3081
2276	support vector machine	0.4995	-0.4719	2	36	96	41	2020.575	4.7805	0.8925
2278	support vector machines	-0.2846	-0.3562	5	24	55	19	2020.7368	6.6842	1.6349
2288	survey	-0.0915	-0.5087	3	8	14	7	2020.8571	5.5714	1.4818
2293	svm	0.5351	0.7014	6	8	12	6	2020.8333	2.3333	0.7609
2321	task analysis	-0.6015	-0.5177	1	15	34	9	2020.5556	12	2.2074
2387	training	-0.724	-0.2809	1	25	62	13	2020.6154	4	0.7417
2388	training data	-0.5649	-0.3926	1	12	20	5	2020.6	4.8	0.6532
2392	transfer learning	0.5612	0.5535	5	11	27	13	2020.75	30.0769	3.7183
2435	unsupervised learning	0.8007	-0.2153	2	23	46	12	2020.8333	5.1667	1.548
2436	unsupervised machine learning	-0.9385	0.3814	7	13	16	8	2020.4286	2.875	0.3533
2504	xgboost	0.6134	-0.2239	5	10	14	5	2020.6	4.8	1.1388
