id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
4	australia	0.4369	0.5887	3	23	64	88	2929	93.688	2015.7955	33.2841	1.0646
5	austria	-0.4938	0.072	1	18	27	29	171	26.7711	2017.5517	5.8966	0.9231
8	bangladesh	0.7219	-0.1592	2	5	6	14	38	4.75	2019	2.7143	0.3393
10	belgium	-0.9776	-0.0836	1	13	20	29	456	20.3268	2015.3103	15.7241	0.7009
14	brazil	-0.6013	-0.1922	1	16	26	64	1095	49.6257	2015.75	17.1094	0.7754
17	canada	-0.0959	0.0894	3	31	95	135	4832	228.3273	2015.2632	35.7926	1.6913
19	colombia	-0.7293	0.1628	1	3	3	9	21	1.1326	2017.7778	2.3333	0.1258
22	croatia	-1.3694	-0.4223	1	3	4	8	67	2.7835	2015.5	8.375	0.3479
24	cyprus	0.1355	-0.8123	2	3	3	3	580	30.8082	2016.3333	193.3333	10.2694
25	czech republic	-0.7699	-0.1302	1	18	24	25	483	10.7253	2014.84	19.32	0.429
26	denmark	-0.0904	0.7555	4	7	9	14	777	26.5734	2015.1538	55.5	1.8981
28	egypt	-0.1995	-0.4298	3	6	8	12	520	16.3322	2015.8333	43.3333	1.361
29	england	0.1587	-0.1521	2	37	127	135	28857	432.8458	2016.3308	213.7556	3.2063
32	finland	-0.0391	-0.1803	3	10	18	30	1173	43.863	2015.6	39.1	1.4621
33	france	-0.3136	-0.0809	1	26	74	73	28972	397.6585	2015.9178	396.8767	5.4474
35	germany	-0.3115	0.3356	1	37	151	151	32582	533.5846	2016.62	215.7748	3.5337
37	greece	-0.5258	-0.2407	1	11	13	29	1080	54.4767	2015.6207	37.2414	1.8785
39	hungary	0.0238	1.0735	5	6	13	9	155	16.8964	2019.5556	17.2222	1.8774
40	india	0.5813	0.1384	2	24	58	241	2422	117.9427	2017.0209	10.0498	0.4894
41	indonesia	0.8762	-0.543	4	3	3	19	51	2.5571	2017.4737	2.6842	0.1346
42	iran	0.6987	0.7649	5	11	11	21	216	14.3772	2015.8095	10.2857	0.6846
43	iraq	0.9904	-0.7497	2	3	7	7	65	1.0343	2019.5	9.2857	0.1478
44	ireland	-0.7814	0.0101	1	10	14	15	104	10.053	2015.4667	6.9333	0.6702
45	israel	-0.0757	-0.3018	3	7	15	18	479	17.2258	2015.1667	26.6111	0.957
46	italy	-0.3251	-0.1671	1	28	63	103	1722	93.6109	2016.2941	16.7184	0.9088
47	jamaica	0.4631	0.1262	3	1	1	3	11	0.4476	2016	3.6667	0.1492
48	japan	0.0104	0.432	4	28	58	90	26915	319.3389	2015.6163	299.0556	3.5482
49	jordan	1.0303	0.1	2	5	7	8	14	1.1312	2018.875	1.75	0.1414
50	kazakhstan	0.0195	-0.3926	4	2	2	4	11	0.555	2019.25	2.75	0.1387
52	kuwait	-0.7642	-0.3377	3	5	5	6	30	1.3215	2016	5	0.2203
55	luxembourg	-0.654	-0.5046	1	1	1	3	165	3.4322	2014.6667	55	1.1441
57	malaysia	0.9025	-0.4439	2	14	28	41	298	8.6243	2017.025	7.2683	0.2103
58	mexico	-0.5616	0.4965	1	4	4	9	109	2.97	2016.2222	12.1111	0.33
60	morocco	-0.0119	-0.0088	3	2	2	11	10	1.4431	2018.2727	0.9091	0.1312
63	netherlands	-0.62	0.3821	1	20	38	30	676	33.5993	2016.6333	22.5333	1.12
64	new zealand	-0.6435	-0.0852	1	9	9	17	356	16.4829	2016.5294	20.9412	0.9696
65	nigeria	0.0348	1.0456	4	2	2	3	7	1.2495	2019.3333	2.3333	0.4165
66	north ireland	0.634	0.029	3	3	3	4	138	1.9304	2013.5	34.5	0.4826
67	north korea	0.9686	0.2304	3	3	3	3	40	2.8299	2019	13.3333	0.9433
68	norway	-0.1913	-0.2429	1	11	13	18	173	23.6467	2018.5	9.6111	1.3137
70	pakistan	1.0722	-0.2743	2	11	24	17	132	7.2695	2018.0588	7.7647	0.4276
71	palestine	0.7742	-0.8552	2	4	4	4	5	0.2523	2020.25	1.25	0.0631
72	peoples r china	0.524	0.3707	3	36	200	688	25879	834.7667	2015.6494	37.6148	1.2133
73	philippines	1.2918	-0.0862	2	1	1	3	36	1.7486	2018.6667	12	0.5829
74	poland	-0.5485	0.2604	1	19	35	43	500	39.1213	2015.1628	11.6279	0.9098
75	portugal	-1.0763	-0.09	1	7	12	31	276	10.6127	2016.1667	8.9032	0.3423
76	qatar	0.5441	-0.1752	2	4	5	3	5	0.5645	2020.6667	1.6667	0.1882
77	romania	-0.7966	0.1765	1	8	11	19	74	4.8518	2016.4211	3.8947	0.2554
78	russia	-0.4449	0.4766	4	15	21	30	1067	60.8824	2017.2759	35.5667	2.0294
79	saudi arabia	0.3639	-0.4024	2	16	29	26	182	13.4849	2017.913	7	0.5187
80	scotland	0.0954	-0.4467	2	16	23	24	372	20.4577	2015.4583	15.5	0.8524
81	serbia	-0.8343	-0.6211	1	5	6	8	347	5.7552	2014.625	43.375	0.7194
82	singapore	0.6789	0.5809	3	16	53	71	9639	299.8965	2014.4648	135.7606	4.2239
83	slovakia	0.0609	1.0726	5	7	14	10	173	19.3415	2018.7	17.3	1.9342
84	slovenia	-0.5828	-0.248	1	5	5	13	247	4.6262	2012.8462	19	0.3559
85	south africa	-0.081	1.0137	4	5	5	10	334	17.8737	2016.2	33.4	1.7874
86	south korea	0.7989	0.0022	2	21	65	95	1955	86.0161	2016.7368	20.5789	0.9054
87	spain	-0.645	0.0032	1	24	59	105	2837	136.9344	2014.0952	27.019	1.3041
90	sweden	-0.4736	-0.3294	1	11	14	23	258	8.746	2015.4091	11.2174	0.3803
91	switzerland	-0.1491	0.4133	1	21	51	37	1259	89.9952	2018.0811	34.027	2.4323
92	taiwan	0.9014	0.455	3	10	21	75	1382	31.879	2013.4459	18.4267	0.4251
93	thailand	0.5	-0.3635	4	5	6	14	178	4.0768	2016.2143	12.7143	0.2912
94	tunisia	-0.4877	-0.7916	1	3	3	5	11	1.174	2018.8	2.2	0.2348
95	turkey	0.5404	-0.5211	2	11	18	70	2540	82.9071	2016.0882	36.2857	1.1844
96	u arab emirates	0.9866	-0.3056	2	12	27	20	44	5.2853	2019.45	2.2	0.2643
98	ukraine	-1.0402	-0.1071	1	5	6	7	5	0.3771	2017.2857	0.7143	0.0539
100	usa	0.2001	0.1639	3	56	335	718	47095	1065.6013	2016.2644	65.5919	1.4841
102	vietnam	-0.1909	0.6963	4	12	16	11	59	7.8408	2018.9	5.3636	0.7128
103	wales	0.4776	-0.2399	2	5	9	6	429	13.1066	2016	71.5	2.1844
